Date,Actual,High,Low,Open,Volume,Coin,Predicted_Close,Lower_CI,Upper_CI
2024-03-03,63167.37109375,63230.2109375,61435.0234375,62031.578125,26253811450.0,BTC-USD,59612.30906590364,54057.9826188633,64986.91083230143
2024-03-04,68330.4140625,68537.03125,62386.51953125,63137.00390625,70670471105.0,BTC-USD,60357.118624116396,54307.93690702066,65782.9807177671
2024-03-05,63801.19921875,69170.625,59323.91015625,68341.0546875,102802940877.0,BTC-USD,60259.95322401707,54718.12421579237,65766.16335187442
2024-03-06,66106.8046875,67637.9296875,62848.671875,63776.05078125,68750229073.0,BTC-USD,61088.08662440408,55127.69898091246,66792.24656022096
2024-03-07,66925.484375,68029.921875,65655.53125,66099.7421875,46989543159.0,BTC-USD,61222.25846013196,55818.636808456875,66810.4796995178
2024-03-08,68300.09375,70083.0546875,66230.453125,66938.09375,59202881172.0,BTC-USD,61639.38630520134,55838.78543098267,67549.05776882257
2024-03-09,68498.8828125,68673.0546875,68053.125,68299.2578125,21609650379.0,BTC-USD,61821.94588921466,56008.24729943492,67349.22623745806
2024-03-10,69019.7890625,70005.203125,68239.9765625,68500.2578125,35683977532.0,BTC-USD,62221.68949390839,55949.92823214,67922.24394211962
2024-03-11,72123.90625,72850.7109375,67194.8828125,69020.546875,65716656765.0,BTC-USD,62966.49905212013,57449.440922199574,68518.86425435572
2024-03-12,71481.2890625,72825.65625,68728.8515625,72125.125,62554434520.0,BTC-USD,62753.9404979637,56673.84298981932,68419.61812527521
2024-03-13,73083.5,73637.4765625,71334.09375,71482.1171875,48212536929.0,BTC-USD,63466.68074429403,57609.70097723562,69264.23256203314
2024-03-14,71396.59375,73750.0703125,68563.0234375,73079.375,59594605698.0,BTC-USD,63485.45942596459,57989.60751180089,69157.05710997047
2024-03-15,69403.7734375,72357.1328125,65630.6953125,71387.875,78320453976.0,BTC-USD,63787.19411697759,57791.6495303599,69255.10242188424
2024-03-16,65315.1171875,70046.2734375,64801.39453125,69392.484375,46842198371.0,BTC-USD,63854.36054693478,58045.33900752092,69629.45101177267
2024-03-17,68390.625,68845.71875,64545.31640625,65316.34375,44716864318.0,BTC-USD,64138.71099756818,58459.344128292214,69946.896173172
2024-03-18,67548.59375,68897.1328125,66594.2265625,68371.3046875,49261579492.0,BTC-USD,64768.127401724625,58921.842892405024,70580.67634014205
2024-03-19,61912.7734375,68106.9296875,61536.1796875,67556.1328125,74215844794.0,BTC-USD,64555.56884756777,58476.03038372411,70337.83373619396
2024-03-20,67913.671875,68115.2578125,60807.78515625,61930.15625,66792634382.0,BTC-USD,65268.30909389867,59562.92011975145,71058.20897709783
2024-03-21,65491.390625,68199.9921875,64580.91796875,67911.5859375,44480350565.0,BTC-USD,65287.0877755679,59248.38061975642,71301.31792452814
2024-03-22,63778.76171875,66623.75,62355.37109375,65489.9296875,41401116964.0,BTC-USD,65588.82246658124,60146.19851068366,71633.16938721517
2024-03-23,64062.203125,65976.3984375,63038.4921875,63802.72265625,24738964812.0,BTC-USD,65501.128304877166,59657.037077106346,70707.07978771548
2024-03-24,67234.171875,67622.7578125,63825.8515625,64070.75390625,27206630673.0,BTC-USD,65630.6181638524,59653.35451476139,71457.80501519654
2024-03-25,69958.8125,71162.59375,66414.8359375,67234.09375,42700139523.0,BTC-USD,66105.17397634735,60106.46509663791,71711.66119146855
2024-03-26,69987.8359375,71535.7421875,69335.609375,69931.328125,36010437368.0,BTC-USD,65737.75483052988,60174.01793728645,71176.10607696178
2024-03-27,69455.34375,71727.6875,68381.9296875,69991.8984375,40827113309.0,BTC-USD,66295.6344852002,60633.72308316889,71778.50773341708
2024-03-28,70744.953125,71546.0234375,68895.5078125,69452.7734375,34374900617.0,BTC-USD,66159.55257521014,60432.35222227669,71878.63738394309
2024-03-29,69892.828125,70913.09375,69076.65625,70744.796875,25230851763.0,BTC-USD,66306.42667456217,60469.93900593057,72056.33195834912
2024-03-30,69645.3046875,70355.4921875,69601.0625,69893.4453125,17130241883.0,BTC-USD,66218.73251285945,60710.44613664012,72216.19231852933
2024-03-31,71333.6484375,71377.78125,69624.8671875,69647.78125,20050941373.0,BTC-USD,66348.22237183397,60661.90427731644,72178.81844695451
2024-04-01,69702.1484375,71342.09375,68110.6953125,71333.484375,34873527352.0,BTC-USD,66822.77818432712,61021.460479012174,72735.10094729986
2024-04-02,65446.97265625,69708.3828125,64586.59375,69705.0234375,50705240709.0,BTC-USD,66455.35903851032,60832.18947644015,71910.0815418485
2024-04-03,65980.8125,66914.3203125,64559.8984375,65446.671875,34488018367.0,BTC-USD,67013.23869318048,61643.24815556003,73185.44975940649
2024-04-04,68508.84375,69291.2578125,65113.796875,65975.6953125,34439527442.0,BTC-USD,66755.88954652568,61203.43380257539,72580.43322381919
2024-04-05,67837.640625,68725.7578125,66011.4765625,68515.7578125,33748230056.0,BTC-USD,66781.49640921394,61202.562439412686,72943.07165880724
2024-04-06,68896.109375,69629.6015625,67491.71875,67840.5703125,19967785809.0,BTC-USD,66572.5350108465,60765.621273459925,72338.08862273482
2024-04-07,69362.5546875,70284.4296875,68851.6328125,68897.109375,21204930369.0,BTC-USD,66580.75763315793,61064.069485501845,72368.04506431227
2024-04-08,71631.359375,72715.359375,69064.2421875,69362.5546875,37261432669.0,BTC-USD,66934.04620898809,61204.682571503196,72831.14553496974
2024-04-09,69139.015625,71742.5078125,68212.921875,71632.5,36426900409.0,BTC-USD,66445.35982650614,60486.661959003424,71883.83085977627
2024-04-10,70587.8828125,71093.4296875,67503.5625,69140.2421875,38318601774.0,BTC-USD,66881.97224451185,61591.10191504613,72728.50166869997
2024-04-11,70060.609375,71256.234375,69571.8125,70575.734375,30153382941.0,BTC-USD,66624.6230978567,60684.92397542566,72404.76412938017
2024-04-12,67195.8671875,71222.7421875,65254.8359375,70061.3828125,44129299406.0,BTC-USD,66650.2299605453,61030.692295950874,72496.31516545161
2024-04-13,63821.47265625,67931.4296875,60919.10546875,67188.375,52869738185.0,BTC-USD,66441.26856217872,60767.27125559497,72155.2397983455
2024-04-14,65738.7265625,65824.4296875,62205.8515625,63836.23046875,49084320047.0,BTC-USD,66449.49118449009,60766.14814945125,72318.39646628324
2024-04-15,63426.2109375,66878.6484375,62332.0703125,65739.6484375,43595917654.0,BTC-USD,66802.77976031929,61357.84386771541,72677.93753461896
2024-04-16,63811.86328125,64355.66796875,61716.40234375,63419.296875,42847528078.0,BTC-USD,66300.73990145439,60067.08175681452,71953.17593097338
2024-04-17,61276.69140625,64486.36328125,59768.5859375,63831.84765625,41915247049.0,BTC-USD,66723.99884307712,61227.97900985954,72311.96466727318
2024-04-18,63512.75390625,64125.6875,60833.48046875,61275.31640625,36006307335.0,BTC-USD,66453.29622003816,60852.559573169034,72307.79515277715
2024-04-19,63843.5703125,65481.59765625,59651.390625,63510.75,49920425401.0,BTC-USD,66465.54960634351,60855.251685151234,72664.74493290749
2024-04-20,64994.44140625,65442.45703125,63172.40234375,63851.1015625,23097485495.0,BTC-USD,66243.23473159324,60883.667677429985,72019.0178411628
2024-04-21,64926.64453125,65723.2421875,64277.72265625,64992.81640625,20506644853.0,BTC-USD,66238.10387751933,60388.1175298743,71581.9517990603
2024-04-22,66837.6796875,67233.9609375,64548.1796875,64935.6328125,28282686673.0,BTC-USD,66578.03897696573,60506.91034820013,71938.53391037499
2024-04-23,66407.2734375,67199.2421875,65864.8671875,66839.890625,24310975583.0,BTC-USD,66075.99911810158,60761.52289897026,72054.82798512772
2024-04-24,64276.8984375,67075.3671875,63589.87109375,66408.71875,30276655120.0,BTC-USD,66499.25805972422,60984.13173196392,72227.37902408357
2024-04-25,64481.70703125,65275.20703125,62783.6328125,64275.01953125,32155786816.0,BTC-USD,66228.55543668453,60816.72882302283,72133.91819804416
2024-04-26,63755.3203125,64789.65625,63322.3984375,64485.37109375,24139372950.0,BTC-USD,66240.8088229915,60553.76653017647,72141.14661593076
2024-04-27,63419.140625,63898.36328125,62424.71875,63750.98828125,19530783039.0,BTC-USD,66018.49352217779,60648.34617404016,71786.75723145554
2024-04-28,63113.23046875,64321.484375,62793.59765625,63423.515625,17334827993.0,BTC-USD,66013.36224204171,60148.64091571994,71772.98221897
2024-04-29,63841.12109375,64174.87890625,61795.45703125,63106.36328125,26635912073.0,BTC-USD,66353.29691542522,60969.975454981715,72309.80850258074
2024-04-30,60636.85546875,64703.33203125,59120.06640625,63839.41796875,37840840057.0,BTC-USD,65851.25663049717,60095.453773375084,71272.48480094224
2024-05-01,58254.01171875,60780.5,56555.29296875,60609.49609375,48439780271.0,BTC-USD,66274.51514605674,60661.50475156943,72198.33207704882
2024-05-02,59123.43359375,59602.296875,56937.203125,58253.703125,32711813559.0,BTC-USD,66003.8120969554,60951.40314228385,71895.33438531503
2024-05-03,62889.8359375,63320.50390625,58848.3125,59122.30078125,33172023048.0,BTC-USD,66016.06505719629,60583.53689855111,72109.5440931575
2024-05-04,63891.47265625,64494.95703125,62599.3515625,62891.03125,20620477992.0,BTC-USD,65793.74975638335,59686.85776430345,71735.24697303836
2024-05-05,64031.1328125,64610.890625,62955.3046875,63892.453125,18296164805.0,BTC-USD,65788.61847624826,60002.20584225529,71555.00452519528
2024-05-06,63161.94921875,65494.90234375,62746.23828125,64038.3125,28697928697.0,BTC-USD,66128.55314963128,60755.76106722604,72373.795806749
2024-05-07,62334.81640625,64390.45703125,62285.98046875,63162.76171875,25930730982.0,BTC-USD,65626.51286470395,59786.34929627756,71342.67285240856
2024-05-08,61187.94140625,62986.0859375,60877.12890625,62332.640625,26088172222.0,BTC-USD,66049.77138026345,60133.506229309016,71545.27219257983
2024-05-09,63049.9609375,63404.9140625,60648.07421875,61191.19921875,25453338161.0,BTC-USD,65779.06832263879,60188.0911043538,71506.9606298511
2024-05-10,60792.77734375,63446.7421875,60208.78125,63055.19140625,27804954694.0,BTC-USD,65791.32127435894,60238.171485720355,71504.10856220483
2024-05-11,60793.7109375,61451.15234375,60492.625,60793.35546875,13842272968.0,BTC-USD,65569.00596502286,59827.37645120981,71230.58616821148
2024-05-12,61448.39453125,61818.15625,60632.6015625,60793.50390625,13800459405.0,BTC-USD,65563.87467636491,59259.24893293614,71081.46001293116
2024-05-13,62901.44921875,63422.66015625,60769.83984375,61451.21875,27889181179.0,BTC-USD,65903.80934122652,60166.99186759812,71533.19112363263
2024-05-14,61552.7890625,63092.125,61123.765625,62900.7734375,28186271527.0,BTC-USD,65401.769047775524,59751.29604660773,71431.17718977765
2024-05-15,66267.4921875,66454.453125,61330.41015625,61553.98828125,39815167074.0,BTC-USD,65825.02755481328,59390.62156430791,71793.11573293245
2024-05-16,65231.58203125,66712.4296875,64613.0546875,66256.109375,31573077994.0,BTC-USD,65554.32449718952,59644.72545838232,71412.51936895236
2024-05-17,67051.875,67459.4609375,65119.31640625,65231.296875,28031279310.0,BTC-USD,65566.57744890917,60156.22835213941,71126.52186279718
2024-05-18,66940.8046875,67387.328125,66663.5,67066.2109375,16712277406.0,BTC-USD,65344.262139571096,59700.958853561744,70984.32694418817
2024-05-19,66278.3671875,67694.296875,65937.1796875,66937.9296875,19249094538.0,BTC-USD,65339.13085091412,59819.160255200695,70642.93333987566
2024-05-20,71448.1953125,71483.5625,66086.171875,66278.7421875,43850655717.0,BTC-USD,65679.06551577522,60121.579646593,71625.0929972637
